folder_name,camera_x,camera_y,camera_z,height_label,azimuth_bin,azimuth_label,n_frames,scale_m_per_px,torso_px_median,torso_m_prior,D_x,D_y,D_z,replace_rate,align_mirrored,align_hip_rmse_m,window,k_sigma
CapturedFrames_5.0_1.5_1.0,5.0,1.5,1.0,Y=1.5,2,E,29,0.0043199623120156105,121.04958299138967,0.5229296364080093,0.9993184002178246,-0.03501854497315021,0.011680603325657856,0.08333333333333333,False,0.5982235288626013,7,5.0
CapturedFrames_5.0_1.5_2.0,5.0,1.5,2.0,Y=1.5,2,E,24,0.004246993985509655,123.12954386374989,0.522930432227893,0.9974808977471664,-0.07085904088912665,-0.0032946856875886547,0.11458333333333333,False,0.3882059397275584,7,5.0
CapturedFrames_5.0_1.5_3.0,5.0,1.5,3.0,Y=1.5,1,NE,20,0.00413693377825097,126.40528503512104,0.5229302934112341,0.9922426520319464,-0.06730501933034486,-0.1045205906104234,0.12083333333333333,False,0.22931776043824034,7,5.0
CapturedFrames_5.0_1.5_4.0,5.0,1.5,4.0,Y=1.5,1,NE,6,0.004255107750237335,122.89458853295568,0.522929716128808,0.98817189402054,-0.15302586098891605,-0.00996964073875022,0.1111111111111111,False,0.08145215778252224,7,5.0
CapturedFrames_6.0_1.5_-1.0,6.0,1.5,-1.0,Y=1.5,2,E,3,0.004693272034845733,111.42125220206648,0.5229302470474522,0.9909789926960388,-0.018071932886845825,-0.1327932275263986,0.4444444444444444,True,0.09869976376308157,7,5.0
CapturedFrames_6.0_1.5_-2.0,6.0,1.5,-2.0,Y=1.5,2,E,7,0.004585706878397316,114.04271417943437,0.5229664588437313,0.98121484948034,0.020540683749675607,-0.19182153025760557,0.08333333333333333,False,0.07941103586760173,7,5.0
CapturedFrames_6.0_1.5_-3.0,6.0,1.5,-3.0,Y=1.5,3,SE,9,0.004689244918039655,111.51685084592228,0.5229298261050273,0.9955984291199942,0.02041172562227493,0.09147201424982951,0.14814814814814814,False,0.07691105450592894,7,5.0
CapturedFrames_-1.0_2.0_-3.0,-1.0,2.0,-3.0,Y=2.0,4,S,83,0.0035071256334316737,149.10485739364444,0.5229294674344246,-0.8909451175910384,0.3823243394432784,0.2450406025742497,0.07329317269076305,True,1.0803506530088682,7,5.0
CapturedFrames_-1.0_2.0_-4.0,-1.0,2.0,-4.0,Y=2.0,4,S,62,0.0035090788475071917,149.02218402294366,0.5229305937642358,-0.6288650821728192,0.6624287413059231,-0.40708337120990795,0.07661290322580645,False,0.8112979987818,7,5.0
CapturedFrames_-1.0_2.0_-5.0,-1.0,2.0,-5.0,Y=2.0,4,S,41,0.00421324729018629,124.11558545440596,0.5229296540856608,-0.6786046970837789,0.7079226183128164,-0.19580917133004533,0.09349593495934959,True,0.5390720828593979,7,5.0
