joint,metric,height_bin,azimuth_bin,height_label,n_azimuth,n_distance,model,bias_mean,bias_median,bias_std,n,reliability_weight
L_Knee,angle_mae,1,7,Y=1.0,8,1,Model4_ViewBin,16.48798175804578,17.242177518600073,4.285239509135391,12,0.1035305241756307
R_Knee,angle_mae,1,7,Y=1.0,8,1,Model4_ViewBin,16.639684550358776,17.176297372783203,3.6126751557066283,12,0.10587776841389906
L_Shoulder,angle_mae,2,0,Y=1.5,8,1,Model4_ViewBin,33.565417168841506,31.66711476121339,7.683798840313417,12,0.09244197753008385
R_Shoulder,angle_mae,2,0,Y=1.5,8,1,Model4_ViewBin,34.80203031610723,35.02329224304878,2.2506017283724784,11,0.10164011843501085
L_Elbow,angle_mae,2,0,Y=1.5,8,1,Model4_ViewBin,16.787145444711882,16.856486015051352,3.7951156963610306,12,0.10523584237073402
R_Elbow,angle_mae,2,0,Y=1.5,8,1,Model4_ViewBin,8.416490803514892,8.36224095045019,1.0701584809392122,11,0.10571919042081589
L_Hip,angle_mae,2,0,Y=1.5,8,1,Model4_ViewBin,48.72558271037254,53.31253409021716,12.259591210486166,12,0.07936478574605446
R_Hip,angle_mae,2,0,Y=1.5,8,1,Model4_ViewBin,16.864558382019258,12.967617776933404,8.970302299012413,12,0.088561544564833
L_Knee,angle_mae,2,0,Y=1.5,8,1,Model4_ViewBin,17.89388756316327,16.41437421448743,3.959410520767759,12,0.10466109413510787
R_Knee,angle_mae,2,0,Y=1.5,8,1,Model4_ViewBin,23.28270732704848,23.700636089270333,3.000478988220325,12,0.1080605631105295
L_Shoulder,angle_mae,2,1,Y=1.5,8,1,Model4_ViewBin,42.91207308842492,43.45801589787884,8.810189598207064,13,0.09637532842037085
R_Shoulder,angle_mae,2,1,Y=1.5,8,1,Model4_ViewBin,42.67014878772164,41.94299392080087,5.284217758770645,12,0.10013980041185247
L_Elbow,angle_mae,2,1,Y=1.5,8,1,Model4_ViewBin,12.075676440872996,13.656074657873248,3.8086547451005743,13,0.11385982289383427
R_Elbow,angle_mae,2,1,Y=1.5,8,1,Model4_ViewBin,22.893634955182776,20.29016292564306,13.175051420232206,12,0.07697952097324699
L_Hip,angle_mae,2,1,Y=1.5,8,1,Model4_ViewBin,44.37562318842109,45.37250835826836,14.201421984586307,13,0.08052297064916539
R_Hip,angle_mae,2,1,Y=1.5,8,1,Model4_ViewBin,13.076220999701953,12.380066864061646,3.8781531221842056,13,0.11359635908657377
L_Knee,angle_mae,2,1,Y=1.5,8,1,Model4_ViewBin,13.927155056033484,14.717021166550165,4.211709731967065,13,0.11234032743961299
R_Knee,angle_mae,2,1,Y=1.5,8,1,Model4_ViewBin,26.317502283311253,24.35296696177013,5.910661365646512,13,0.10615509453120224
L_Shoulder,angle_mae,2,2,Y=1.5,8,1,Model4_ViewBin,39.350596319832135,41.05990647255024,5.502563503927077,12,0.09941360965052577
R_Shoulder,angle_mae,2,2,Y=1.5,8,1,Model4_ViewBin,43.69553711665023,43.91064875641116,2.6453072534540585,12,0.10934750140252715
L_Elbow,angle_mae,2,2,Y=1.5,8,1,Model4_ViewBin,10.29881465708168,11.279490529093133,3.1525006882995323,12,0.1075143631662086
R_Elbow,angle_mae,2,2,Y=1.5,8,1,Model4_ViewBin,33.293944857572725,33.52423052153181,5.849649059115777,12,0.09827006991154588
L_Hip,angle_mae,2,2,Y=1.5,8,1,Model4_ViewBin,36.72109052888223,40.47586038855763,12.939005035878091,12,0.07758760134216736
R_Hip,angle_mae,2,2,Y=1.5,8,1,Model4_ViewBin,15.324126781821816,14.302916017834557,6.252242655173139,12,0.09696011586153994
L_Knee,angle_mae,2,2,Y=1.5,8,1,Model4_ViewBin,14.129972760379713,14.418880107187407,3.1834772669488074,12,0.10740340622295665
R_Knee,angle_mae,2,2,Y=1.5,8,1,Model4_ViewBin,22.24731292635659,20.27491742619506,7.146437810295403,12,0.09411271993316354
L_Shoulder,angle_mae,2,3,Y=1.5,8,1,Model4_ViewBin,32.081429568650464,30.724373339072272,4.032528505431346,9,0.07846849015361297
R_Shoulder,angle_mae,2,3,Y=1.5,8,1,Model4_ViewBin,37.26276330190534,38.15309732145854,5.785623903909757,9,0.07401447125656557
L_Elbow,angle_mae,2,3,Y=1.5,8,1,Model4_ViewBin,20.643087245783647,23.52714678145253,8.29122195165037,9,0.06808389513274882
