joint_short,height_bin,azimuth_bin,raw_abs_theta,signed_mean,n_test,bias_signed_theta,abs_bias,n_calib,corr_abs_theta,improvement,r2,n
L_Hip,1,4,7.496062669256062,0.9611189442497949,70,-0.5973163860859537,8.29433436913493,448,8.093379055342016,-7.968401712218257,0.91730846603198,14
L_Hip,1,5,49.517173340907725,44.26789698969453,156,30.811479923118533,35.167243961682715,245,18.705693417789192,62.22382628950305,0.6581344570909049,10
L_Hip,1,7,172.66825021594477,7.821423007499957,56,-56.03181192737229,171.93244157821695,359,228.70006214331704,-32.450558720145125,0.2392699826299853,12
L_Hip,2,0,166.65771718184652,-102.17736045523922,213,-91.19414684161374,171.30762824608817,566,257.8518640234603,-54.719426369022194,0.9605518649256272,12
L_Hip,2,1,87.62540607773096,-87.62540607773097,123,-104.55795965303595,110.48591217168574,703,192.18336573076692,-119.32379469977512,0.7621437637189121,13
L_Hip,2,2,52.54571419482462,-50.54734203510008,273,-42.4699012328507,42.88108487183381,460,95.01561542767533,-80.82467216143327,0.7516947813237859,12
L_Hip,2,3,5.100842694801966,-4.50580810801669,82,-3.3835691209262144,5.026621383363926,396,8.48441181572818,-66.33353199412036,0.5697176137927127,9
L_Hip,2,4,3.4163052848810205,-2.189214354431483,64,-0.712089013358802,6.160036711653383,503,4.128394298239822,-20.843834317447474,0.6879537710846416,11
L_Hip,2,6,78.11403867360934,78.11403867360934,24,76.54429142004739,86.1212815693901,531,1.5697472535619568,97.990441564389,0.4176615019667143,12
L_Hip,2,7,174.88775270816782,-44.023322637207194,83,39.421176547599956,165.99455753730427,397,135.46657616056785,22.54084459154862,0.9964060674380644,7
L_Hip,3,0,163.11673916112497,-90.9678644776669,39,-125.89966441003477,165.29853811859823,716,289.01640357115974,-77.18377957866876,0.9991305608107176,7
L_Hip,3,1,97.09062739669953,-97.09062739669953,180,-100.65382054923717,100.65382054923717,481,197.7444479459367,-103.66996614202411,0.8755335754778621,13
L_Hip,3,2,75.77460643833518,-75.77460643833518,18,-50.04569129431698,50.17139395302962,750,125.82029773265216,-66.04546515862644,0.832424015555311,11
L_Hip,3,4,8.791018435619858,1.2144988535021317,131,1.4028795069026023,9.20569291569972,272,7.388138928717256,15.958099930928931,0.6291920984758845,11
L_Hip,3,5,63.28748075810263,63.2653426367589,201,35.918143978525926,39.02395256114826,191,27.369336779576706,56.75394809253387,0.590400321058794,8
L_Hip,3,6,73.58084220930812,62.8203328131044,27,84.87792922819165,90.41747563968913,584,11.29708701888353,84.64670058172501,0.5883641934864026,13
L_Hip,3,7,173.90569734994747,-44.31308299024095,171,42.38944073435514,164.68148413792295,346,131.51625661559234,24.374958026277646,0.7587867125837311,9
L_Knee,0,0,6.231393225723362,-0.15010964198172885,69,-2.44971537800367,8.290041330282028,564,8.681108603727033,-39.3124826064768,0.5780107464220599,12
L_Knee,0,1,10.976381059933237,1.3442661100097328,478,0.21280655952090463,11.857513796940436,419,10.763574500412332,1.9387679633108432,0.3868166416064755,13
L_Knee,0,2,13.406675706382906,9.099150786727257,424,8.55750566948381,13.429822076532192,491,4.849170036899096,63.83018323781479,0.4160028884019573,12
L_Knee,0,3,23.425376086106724,23.425376086106716,87,18.17640579556211,18.959087850845016,263,5.248970290544612,77.59280247518542,0.5363649365630899,9
L_Knee,0,4,27.81663902968819,27.81663902968819,62,27.002673455698954,27.075824561453334,294,0.8139655739892362,97.07381767754003,0.7437964937175006,11
L_Knee,0,5,25.618489778249874,25.345753195984283,149,24.50291893452969,24.99007198323535,290,1.1155708437201852,95.64544649830489,0.4772868432812911,9
L_Knee,0,6,22.063101465484753,21.205227422345985,55,20.489552506808018,22.400997138415548,471,1.573548958676735,92.86796119240816,0.2440741872615174,10
L_Knee,0,7,23.534184153397835,23.534184153397835,18,12.189440611728969,14.338085362282962,415,11.344743541668866,51.79461727790158,0.4269279038664828,10
