joint,metric,height_bin,azimuth_bin,height_label,n_azimuth,n_distance,model,bias_mean,bias_median,bias_std,n,reliability_weight
R_Hip,angle_mae,2,6,Y=1.5,8,1,Model4_ViewBin,17.977916879316208,16.890379107083405,5.476451384178066,11,0.09127801890570407
L_Knee,angle_mae,2,6,Y=1.5,8,1,Model4_ViewBin,10.88639508997978,11.85868169092013,3.47844764638322,11,0.09756415156649416
R_Knee,angle_mae,2,6,Y=1.5,8,1,Model4_ViewBin,13.643029199183799,13.563917628903337,0.9461861768747989,11,0.10615696939296748
L_Shoulder,angle_mae,2,7,Y=1.5,8,1,Model4_ViewBin,35.16248543691154,34.28385938826522,4.383049772616027,7,0.06038629133355899
R_Shoulder,angle_mae,2,7,Y=1.5,8,1,Model4_ViewBin,26.767282882123727,24.36379555140805,4.725168211010779,7,0.059701560946108456
L_Elbow,angle_mae,2,7,Y=1.5,8,1,Model4_ViewBin,8.416827230572796,6.088678844543098,6.427523578973875,7,0.056408112545854726
R_Elbow,angle_mae,2,7,Y=1.5,8,1,Model4_ViewBin,5.814120205511252,5.637206458418793,1.3626716197333864,7,0.06678252110955032
L_Hip,angle_mae,2,7,Y=1.5,8,1,Model4_ViewBin,31.158692509021886,33.45024039864075,8.864245260931353,7,0.05200755162318856
R_Hip,angle_mae,2,7,Y=1.5,8,1,Model4_ViewBin,26.870571899908356,28.568978523818675,7.34659942799955,7,0.05470620423784814
L_Knee,angle_mae,2,7,Y=1.5,8,1,Model4_ViewBin,17.36588906343443,16.838008103690463,4.86857135870121,7,0.05941686220773823
R_Knee,angle_mae,2,7,Y=1.5,8,1,Model4_ViewBin,15.462881166171812,16.703456064866693,4.500104824796078,7,0.06015113305687473
L_Shoulder,angle_mae,3,0,Y=2.0,8,1,Model4_ViewBin,31.856916850726353,28.227293850433398,9.875166126660696,8,0.05743904377180455
R_Shoulder,angle_mae,3,0,Y=2.0,8,1,Model4_ViewBin,31.928015933133963,32.00779811298416,2.419673718892169,7,0.0644705147072704
L_Elbow,angle_mae,3,0,Y=2.0,8,1,Model4_ViewBin,15.633367967685494,14.769960440665677,5.00647277909201,8,0.06755986241334128
R_Elbow,angle_mae,3,0,Y=2.0,8,1,Model4_ViewBin,7.748214330359974,7.506152533168006,3.097688565849333,7,0.0630297910267819
L_Hip,angle_mae,3,0,Y=2.0,8,1,Model4_ViewBin,30.76056709339273,34.4895741923869,8.122273800781546,8,0.060895179752044226
R_Hip,angle_mae,3,0,Y=2.0,8,1,Model4_ViewBin,27.44350841714775,25.879265395186632,7.379080008810646,7,0.054647006646912535
L_Knee,angle_mae,3,0,Y=2.0,8,1,Model4_ViewBin,20.427422190097566,17.982319514400317,8.365466303099225,8,0.060403533484379865
R_Knee,angle_mae,3,0,Y=2.0,8,1,Model4_ViewBin,21.218174960009627,23.00462923233172,5.698530640994637,7,0.05779560601141838
L_Shoulder,angle_mae,3,1,Y=2.0,8,1,Model4_ViewBin,43.22815106946015,41.65278099656114,9.511518283532274,13,0.0941484335137371
R_Shoulder,angle_mae,3,1,Y=2.0,8,1,Model4_ViewBin,41.504132705094946,40.14832076034241,7.010866350646654,12,0.09453898231840109
L_Elbow,angle_mae,3,1,Y=2.0,8,1,Model4_ViewBin,10.53502879911945,11.47900603476712,3.311092176529124,13,0.11576398275401349
R_Elbow,angle_mae,3,1,Y=2.0,8,1,Model4_ViewBin,21.560347089772463,18.82178142013369,12.632177979763156,12,0.07838520567637648
L_Hip,angle_mae,3,1,Y=2.0,8,1,Model4_ViewBin,28.074494593085106,28.75722305503093,5.049925995143435,13,0.10924492280487622
R_Hip,angle_mae,3,1,Y=2.0,8,1,Model4_ViewBin,37.75810334840292,36.98187899066641,4.831651101923101,13,0.11004266887996841
L_Knee,angle_mae,3,1,Y=2.0,8,1,Model4_ViewBin,10.190162248192042,11.588905179027998,3.6517132100465832,13,0.1144570281498643
R_Knee,angle_mae,3,1,Y=2.0,8,1,Model4_ViewBin,15.465406754329633,14.695310118296248,4.177353320129687,13,0.11246905482090815
L_Shoulder,angle_mae,3,2,Y=2.0,8,1,Model4_ViewBin,41.13983557895894,41.89221938348836,6.531569547437921,9,0.07219680384341501
R_Shoulder,angle_mae,3,2,Y=2.0,8,1,Model4_ViewBin,41.70181128742379,38.79108320547158,7.619533791090938,9,0.06962545979013879
L_Elbow,angle_mae,3,2,Y=2.0,8,1,Model4_ViewBin,8.28025967852413,8.451020765181045,2.9667837333983633,9,0.08130617530038553
R_Elbow,angle_mae,3,2,Y=2.0,8,1,Model4_ViewBin,32.3641823710942,28.82264507296107,10.651800406798237,9,0.06293199809936889
L_Hip,angle_mae,3,2,Y=2.0,8,1,Model4_ViewBin,21.099514644117637,21.12580955136596,4.348168882365688,9,0.07764722401526418
R_Hip,angle_mae,3,2,Y=2.0,8,1,Model4_ViewBin,30.195158491921216,30.291845080855527,4.503038779877864,9,0.07724741628534944
L_Knee,angle_mae,3,2,Y=2.0,8,1,Model4_ViewBin,11.934612456464652,13.634890026191838,2.8325772031879133,9,0.08167071741369161
R_Knee,angle_mae,3,2,Y=2.0,8,1,Model4_ViewBin,14.73898790191499,13.53704930790422,2.792449073048297,9,0.08178003361420379
L_Shoulder,angle_mae,3,3,Y=2.0,8,1,Model4_ViewBin,30.533148463305086,28.945515441512537,4.284403474424752,11,0.0949779664083532
R_Shoulder,angle_mae,3,3,Y=2.0,8,1,Model4_ViewBin,35.48244398414995,35.83011083275991,5.855377124585689,11,0.09013234983233641
L_Elbow,angle_mae,3,3,Y=2.0,8,1,Model4_ViewBin,20.926342275528437,18.51321521383557,12.334152840090171,11,0.07262577986079043
R_Elbow,angle_mae,3,3,Y=2.0,8,1,Model4_ViewBin,29.020406070612477,29.784448762903214,3.2936561496130916,11,0.09816697378744413
L_Hip,angle_mae,3,3,Y=2.0,8,1,Model4_ViewBin,19.15706650248335,19.30553341259745,8.857919415861659,11,0.08154821176740414
R_Hip,angle_mae,3,3,Y=2.0,8,1,Model4_ViewBin,25.428428401301268,28.311336454869085,10.358394836293265,11,0.07756982926277284
