joint_short,height_bin,azimuth_bin,raw_abs_theta,signed_mean,n_test,bias_signed_theta,abs_bias,n_calib,corr_abs_theta,improvement,r2,n
L_Knee,0,5,32.53046591634542,32.25778873289568,135,30.627451079609862,31.749450054191488,331,1.903014836735558,94.15005354786707,0.889061044372247,9
L_Knee,0,6,30.792763677738108,30.636225334693272,99,25.412100926680342,28.448053211281977,524,5.380662751057766,82.52621035458483,0.1143418495180531,10
L_Knee,0,7,32.18119129437658,32.18119129437658,18,18.870799783428176,21.179051766495114,431,13.310391510948406,58.63922068890503,0.7080386356231659,10
L_Knee,1,0,7.806085285569093,3.938195697527485,239,5.427941816109524,8.534738667003701,514,2.3781434694595696,69.53474907767173,0.934523572624962,14
L_Knee,1,1,8.845345064442988,1.437930395377738,56,5.638297430428196,10.159386988653766,531,3.207047634014792,63.743103172914516,0.4876238768251415,12
L_Knee,1,2,11.931675283215053,10.251163968811332,195,15.12598880597699,15.844260151473085,589,3.194313522761936,73.22828985083466,0.5585731238549492,12
L_Knee,1,3,22.865092079793122,22.865092079793122,77,23.887033424910545,24.69770414291666,393,1.0219413451174226,95.5305609898656,0.1919666545365607,15
L_Knee,1,4,29.782573357327248,29.78257335732725,99,32.2342821816773,32.2342821816773,453,2.451708824350053,91.76797520168998,0.5330128477361615,15
L_Knee,1,5,30.921478631882927,30.602832018973274,125,30.428331068123423,31.05681342523267,361,0.4931475637595035,98.405161765935,0.7522255879496176,11
L_Knee,1,7,21.66320262172082,21.58181762499017,52,21.312433734816548,21.393203280574944,382,0.3507688869042731,98.38080780100088,0.3975030651456999,12
L_Knee,2,0,10.040369899868498,5.727918841366241,203,1.84168935969398,8.541813719635796,556,8.198680540174518,18.34284372050975,0.9284484601587428,12
L_Knee,2,1,11.165296431264366,4.842720929362424,275,6.113016562041752,11.168997679130321,471,5.052279869222614,54.750150161033474,0.4579662098991318,12
L_Knee,2,2,13.62356713910353,13.127936764095729,144,12.686827438495612,13.562094849582069,405,0.9367397006079177,93.12412313865136,0.8599630332113394,11
L_Knee,2,3,23.55838130028397,23.55838130028397,118,26.323620489844227,26.32362048984422,371,2.7652391895602584,88.26218510383424,0.7389309910336777,9
L_Knee,2,4,31.410781372211957,31.410781372211957,35,30.941855743065613,30.97038098672162,565,0.4689256291463444,98.50711886600443,0.6850443579024623,11
L_Knee,2,6,41.019191304892594,41.01919130489259,19,29.63741586759125,31.284723495504046,645,11.381775437301343,72.25256014263798,0.7275589679575338,11
L_Knee,2,7,16.26499666379523,16.26499666379523,53,22.938354648746156,24.33580095036988,493,6.6733579849509255,58.97104608815958,0.978114670288908,7
L_Knee,3,0,12.130444882195995,-0.6957474312852315,129,-2.9840897641494664,12.580593985544992,466,15.114534646345462,-24.60000266378731,0.8247843992941897,8
L_Knee,3,1,11.980091649424473,2.699471498750615,43,5.782803683438672,13.06881719578718,497,6.197287965985801,48.27011222169139,0.6221792506015864,13
L_Knee,3,2,13.690407454170602,12.915657314230835,95,14.926955926832376,15.331182232880842,499,1.2365484726617737,90.96777450341645,0.8654123270560188,9
L_Knee,3,4,32.12562650696287,32.12562650696287,120,31.08867165236335,31.244975816199126,306,1.036954854599518,96.77218791554223,0.4244366593807094,10
L_Knee,3,5,31.893144329125285,30.27044972663504,92,28.849497648151637,30.611480619090667,301,3.043646680973648,90.45673687873371,0.8567770569199007,8
L_Knee,3,6,30.08702098753628,28.885971706359886,171,33.284506536604475,34.865451396769195,469,3.197485549068194,89.37254189973554,0.9111128766946242,12
L_Shoulder,0,0,8.373257018260876,2.7402877494618068,71,7.667641197807019,9.521139934725575,559,0.7056158204538567,91.57298266475028,0.9134229514108356,12
L_Shoulder,0,1,5.313824045590104,-1.0303500942829782,395,-1.7582909707468053,4.835968563575027,427,7.072115016336909,-33.08899496222491,0.9737584003675276,13
L_Shoulder,0,2,7.925660166638575,-5.573008878070688,444,-5.259278458821179,6.207727534460362,418,13.184938625459754,-66.35760741999793,0.8930272945387441,12
L_Shoulder,0,3,14.604308925324382,-14.604308925324382,85,-10.501294897462728,12.950965734781615,274,25.10560382278711,-71.90545578814151,0.9381628913424648,8
L_Shoulder,0,4,14.434349458256891,-6.662586430017721,60,-11.836753576490574,14.585715268185591,310,26.271103034747465,-82.0040668318418,0.9278357314411202,10
L_Shoulder,0,5,8.905858478473846,-8.905858478473847,135,-7.300157342717456,8.257695598501217,331,16.2060158211913,-81.97028237493898,0.76681882929071,8
L_Shoulder,0,6,4.214978839529716,-4.158860241293213,99,-2.214550784031087,5.648962945121793,524,6.4295296235608035,-52.54002139375329,0.7671374196526093,8
