folder_name,camera_x,camera_y,camera_z,height_label,azimuth_bin,azimuth_label,D_norm,n_frames,window,k_sigma
CapturedFrames_-5.0_1.0_1.0,-5.0,1.0,1.0,Y=1.0,6,W,5.47069710303486,58,7,3.0
CapturedFrames_-5.0_1.0_2.0,-5.0,1.0,2.0,Y=1.0,6,W,2.987994090357442,42,7,3.0
CapturedFrames_-5.0_1.0_3.0,-5.0,1.0,3.0,Y=1.0,7,NW,2.1531252293178396,32,7,3.0
CapturedFrames_-5.0_1.0_4.0,-5.0,1.0,4.0,Y=1.0,7,NW,1.088935362854472,14,7,3.0
CapturedFrames_-5.0_1.0_5.0,-5.0,1.0,5.0,Y=1.0,7,NW,0.8463658333894389,4,7,3.0
CapturedFrames_-6.0_1.0_-1.0,-6.0,1.0,-1.0,Y=1.0,6,W,2.906176648241638,10,7,3.0
CapturedFrames_-6.0_1.0_-2.0,-6.0,1.0,-2.0,Y=1.0,6,W,2.0709247426840505,14,7,3.0
CapturedFrames_-6.0_1.0_-3.0,-6.0,1.0,-3.0,Y=1.0,5,SW,1.50879544263694,10,7,3.0
CapturedFrames_-6.0_1.0_-4.0,-6.0,1.0,-4.0,Y=1.0,5,SW,0.18951576004649315,3,7,3.0
CapturedFrames_-6.0_1.0_0.0,-6.0,1.0,0.0,Y=1.0,6,W,3.817210192600612,18,7,3.0
CapturedFrames_-6.0_1.0_1.0,-6.0,1.0,1.0,Y=1.0,6,W,2.0973030058360664,24,7,3.0
CapturedFrames_-6.0_1.0_2.0,-6.0,1.0,2.0,Y=1.0,6,W,1.8439666474567806,15,7,3.0
CapturedFrames_-6.0_1.0_3.0,-6.0,1.0,3.0,Y=1.0,7,NW,0.8463435400952737,8,7,3.0
CapturedFrames_-6.0_1.0_4.0,-6.0,1.0,4.0,Y=1.0,7,NW,0.1969055110173407,4,7,3.0
CapturedFrames_0.0_1.0_-3.0,0.0,1.0,-3.0,Y=1.0,4,S,4.9051561249356785,59,7,3.0
CapturedFrames_0.0_1.0_-4.0,0.0,1.0,-4.0,Y=1.0,4,S,4.4263410282850995,72,7,3.0
CapturedFrames_0.0_1.0_-5.0,0.0,1.0,-5.0,Y=1.0,4,S,2.647298227144422,48,7,3.0
CapturedFrames_0.0_1.0_-6.0,0.0,1.0,-6.0,Y=1.0,4,S,1.4452177010654834,27,7,3.0
CapturedFrames_0.0_1.0_3.0,0.0,1.0,3.0,Y=1.0,0,N,3.139797049836661,46,7,3.0
CapturedFrames_0.0_1.0_4.0,0.0,1.0,4.0,Y=1.0,0,N,3.4373062835844292,61,7,3.0
CapturedFrames_0.0_1.0_5.0,0.0,1.0,5.0,Y=1.0,0,N,2.353885131068634,36,7,3.0
CapturedFrames_0.0_1.0_6.0,0.0,1.0,6.0,Y=1.0,0,N,1.2656413854536364,21,7,3.0
CapturedFrames_1.0_1.0_-3.0,1.0,1.0,-3.0,Y=1.0,4,S,4.855651574916079,65,7,3.0
CapturedFrames_1.0_1.0_-4.0,1.0,1.0,-4.0,Y=1.0,4,S,3.874924816890387,65,7,3.0
CapturedFrames_1.0_1.0_-5.0,1.0,1.0,-5.0,Y=1.0,4,S,2.5320956172411817,46,7,3.0
CapturedFrames_1.0_1.0_-6.0,1.0,1.0,-6.0,Y=1.0,4,S,1.2657898553784512,23,7,3.0
CapturedFrames_1.0_1.0_3.0,1.0,1.0,3.0,Y=1.0,0,N,4.823264997798587,65,7,3.0
CapturedFrames_1.0_1.0_4.0,1.0,1.0,4.0,Y=1.0,0,N,3.3789238183417214,56,7,3.0
CapturedFrames_1.0_1.0_5.0,1.0,1.0,5.0,Y=1.0,0,N,1.7795286250771576,31,7,3.0
CapturedFrames_1.0_1.0_6.0,1.0,1.0,6.0,Y=1.0,0,N,1.2092143091933705,19,7,3.0
CapturedFrames_2.0_1.0_-3.0,2.0,1.0,-3.0,Y=1.0,3,SE,3.391154517982335,60,7,3.0
CapturedFrames_2.0_1.0_-4.0,2.0,1.0,-4.0,Y=1.0,3,SE,3.509402665008961,52,7,3.0
CapturedFrames_2.0_1.0_-5.0,2.0,1.0,-5.0,Y=1.0,4,S,2.6437657262030614,45,7,3.0
CapturedFrames_2.0_1.0_-6.0,2.0,1.0,-6.0,Y=1.0,4,S,1.206826171344075,20,7,3.0
CapturedFrames_2.0_1.0_3.0,2.0,1.0,3.0,Y=1.0,1,NE,3.872876123746537,64,7,3.0
CapturedFrames_2.0_1.0_4.0,2.0,1.0,4.0,Y=1.0,1,NE,3.09883168325177,52,7,3.0
CapturedFrames_2.0_1.0_5.0,2.0,1.0,5.0,Y=1.0,0,N,2.405502011640398,30,7,3.0
CapturedFrames_2.0_1.0_6.0,2.0,1.0,6.0,Y=1.0,0,N,0.8462749588667975,13,7,3.0
CapturedFrames_3.0_1.0_-1.0,3.0,1.0,-1.0,Y=1.0,2,E,4.823631080170622,85,7,3.0
CapturedFrames_3.0_1.0_-2.0,3.0,1.0,-2.0,Y=1.0,3,SE,4.617551322839195,73,7,3.0
CapturedFrames_3.0_1.0_-3.0,3.0,1.0,-3.0,Y=1.0,3,SE,4.733660126900113,66,7,3.0
CapturedFrames_3.0_1.0_-4.0,3.0,1.0,-4.0,Y=1.0,3,SE,2.647750982816549,48,7,3.0
CapturedFrames_3.0_1.0_-5.0,3.0,1.0,-5.0,Y=1.0,3,SE,1.877968079375419,34,7,3.0
CapturedFrames_3.0_1.0_-6.0,3.0,1.0,-6.0,Y=1.0,3,SE,0.9249341520935426,18,7,3.0
CapturedFrames_3.0_1.0_0.0,3.0,1.0,0.0,Y=1.0,2,E,5.276993707949821,91,7,3.0
CapturedFrames_3.0_1.0_1.0,3.0,1.0,1.0,Y=1.0,2,E,5.436510572578978,97,7,3.0
CapturedFrames_3.0_1.0_2.0,3.0,1.0,2.0,Y=1.0,1,NE,5.48928337888845,86,7,3.0
CapturedFrames_3.0_1.0_3.0,3.0,1.0,3.0,Y=1.0,1,NE,4.238232173699902,63,7,3.0
CapturedFrames_3.0_1.0_4.0,3.0,1.0,4.0,Y=1.0,1,NE,2.4057256386456456,38,7,3.0
CapturedFrames_3.0_1.0_5.0,3.0,1.0,5.0,Y=1.0,1,NE,1.3200110929567979,21,7,3.0
CapturedFrames_3.0_1.0_6.0,3.0,1.0,6.0,Y=1.0,1,NE,0.6805393023264711,7,7,3.0
CapturedFrames_4.0_1.0_-1.0,4.0,1.0,-1.0,Y=1.0,2,E,5.813922155341693,98,7,3.0
CapturedFrames_4.0_1.0_-2.0,4.0,1.0,-2.0,Y=1.0,3,SE,4.496786889972327,60,7,3.0
CapturedFrames_4.0_1.0_-3.0,4.0,1.0,-3.0,Y=1.0,3,SE,2.4737862869855998,45,7,3.0
CapturedFrames_4.0_1.0_-4.0,4.0,1.0,-4.0,Y=1.0,3,SE,2.1564019437280244,38,7,3.0
CapturedFrames_4.0_1.0_-5.0,4.0,1.0,-5.0,Y=1.0,3,SE,0.9223811081055382,18,7,3.0
CapturedFrames_4.0_1.0_-6.0,4.0,1.0,-6.0,Y=1.0,3,SE,0.3164843666123182,5,7,3.0
CapturedFrames_4.0_1.0_0.0,4.0,1.0,0.0,Y=1.0,2,E,5.912224794688544,105,7,3.0
CapturedFrames_4.0_1.0_1.0,4.0,1.0,1.0,Y=1.0,2,E,5.912222592426642,105,7,3.0
CapturedFrames_4.0_1.0_2.0,4.0,1.0,2.0,Y=1.0,1,NE,4.238297196188347,66,7,3.0
CapturedFrames_4.0_1.0_3.0,4.0,1.0,3.0,Y=1.0,1,NE,2.4589380744270484,39,7,3.0
CapturedFrames_4.0_1.0_4.0,4.0,1.0,4.0,Y=1.0,1,NE,1.9117260350034468,26,7,3.0
CapturedFrames_4.0_1.0_5.0,4.0,1.0,5.0,Y=1.0,1,NE,0.9076515782595211,10,7,3.0
CapturedFrames_5.0_1.0_-1.0,5.0,1.0,-1.0,Y=1.0,2,E,4.069716936093221,38,7,3.0
CapturedFrames_5.0_1.0_-2.0,5.0,1.0,-2.0,Y=1.0,2,E,2.289873803425202,33,7,3.0
CapturedFrames_5.0_1.0_-3.0,5.0,1.0,-3.0,Y=1.0,3,SE,2.2198452406275986,25,7,3.0
CapturedFrames_5.0_1.0_-4.0,5.0,1.0,-4.0,Y=1.0,3,SE,0.6376555941078226,12,7,3.0
CapturedFrames_5.0_1.0_-5.0,5.0,1.0,-5.0,Y=1.0,3,SE,0.5097906874325973,7,7,3.0
CapturedFrames_5.0_1.0_0.0,5.0,1.0,0.0,Y=1.0,2,E,5.912891238975819,39,7,3.0
CapturedFrames_5.0_1.0_1.0,5.0,1.0,1.0,Y=1.0,2,E,4.70872291502006,26,7,3.0
CapturedFrames_5.0_1.0_2.0,5.0,1.0,2.0,Y=1.0,2,E,2.7498811276117014,21,7,3.0
CapturedFrames_5.0_1.0_3.0,5.0,1.0,3.0,Y=1.0,1,NE,0.970441017547177,13,7,3.0
CapturedFrames_5.0_1.0_4.0,5.0,1.0,4.0,Y=1.0,1,NE,0.37892110924175215,6,7,3.0
CapturedFrames_6.0_1.0_-3.0,6.0,1.0,-3.0,Y=1.0,3,SE,0.23047505796940365,4,7,3.0
CapturedFrames_6.0_1.0_-4.0,6.0,1.0,-4.0,Y=1.0,3,SE,0.12872266599942708,3,7,3.0
CapturedFrames_-1.0_1.5_-3.0,-1.0,1.5,-3.0,Y=1.5,4,S,4.371011785714607,75,7,3.0
CapturedFrames_-1.0_1.5_-4.0,-1.0,1.5,-4.0,Y=1.5,4,S,4.130803205859606,64,7,3.0
CapturedFrames_-1.0_1.5_-5.0,-1.0,1.5,-5.0,Y=1.5,4,S,2.1586622828847033,40,7,3.0
CapturedFrames_-1.0_1.5_-6.0,-1.0,1.5,-6.0,Y=1.5,4,S,1.6229124597146334,30,7,3.0
CapturedFrames_-1.0_1.5_3.0,-1.0,1.5,3.0,Y=1.5,0,N,4.273352607422654,76,7,3.0
CapturedFrames_-1.0_1.5_4.0,-1.0,1.5,4.0,Y=1.5,0,N,3.817211345401509,66,7,3.0
CapturedFrames_-1.0_1.5_5.0,-1.0,1.5,5.0,Y=1.5,0,N,2.0379184792454286,35,7,3.0
CapturedFrames_-1.0_1.5_6.0,-1.0,1.5,6.0,Y=1.5,0,N,1.3750861197630495,16,7,3.0
CapturedFrames_-2.0_1.5_-3.0,-2.0,1.5,-3.0,Y=1.5,5,SW,4.4796204893911495,79,7,3.0
CapturedFrames_-2.0_1.5_-4.0,-2.0,1.5,-4.0,Y=1.5,5,SW,3.7108520875616966,64,7,3.0
CapturedFrames_-2.0_1.5_-5.0,-2.0,1.5,-5.0,Y=1.5,4,S,2.5909093760226347,44,7,3.0
CapturedFrames_-2.0_1.5_-6.0,-2.0,1.5,-6.0,Y=1.5,4,S,1.7280960659156075,29,7,3.0
CapturedFrames_-2.0_1.5_3.0,-2.0,1.5,3.0,Y=1.5,7,NW,4.227061388929903,75,7,3.0
CapturedFrames_-2.0_1.5_4.0,-2.0,1.5,4.0,Y=1.5,7,NW,3.2657343081918038,51,7,3.0
CapturedFrames_-2.0_1.5_5.0,-2.0,1.5,5.0,Y=1.5,0,N,2.2023302089591374,39,7,3.0
CapturedFrames_-2.0_1.5_6.0,-2.0,1.5,6.0,Y=1.5,0,N,0.8463739959934969,15,7,3.0
CapturedFrames_-3.0_1.5_-1.0,-3.0,1.5,-1.0,Y=1.5,6,W,4.98933001212718,85,7,3.0
CapturedFrames_-3.0_1.5_-2.0,-3.0,1.5,-2.0,Y=1.5,5,SW,4.98958263217466,88,7,3.0
CapturedFrames_-3.0_1.5_-3.0,-3.0,1.5,-3.0,Y=1.5,5,SW,4.206858872639419,73,7,3.0
CapturedFrames_-3.0_1.5_-4.0,-3.0,1.5,-4.0,Y=1.5,5,SW,3.506461307986871,56,7,3.0
CapturedFrames_-3.0_1.5_-5.0,-3.0,1.5,-5.0,Y=1.5,5,SW,2.3542493142354313,36,7,3.0
