folder_name,camera_x,camera_y,camera_z,height_label,azimuth_bin,azimuth_label,joint,n_frames,n_keep,reject_rate,mean_eps_norm,mean_E_norm,mean_E_corr_norm,mean_eps_norm_keep
CapturedFrames_-3.0_2.0_-4.0,-3.0,2.0,-4.0,Y=2.0,5,SW,RIGHT_ANKLE,54,42,0.2222222222222222,0.3169561280064663,0.7538504738927794,0.7534517891440217,0.30605920469864295
CapturedFrames_-3.0_2.0_-4.0,-3.0,2.0,-4.0,Y=2.0,5,SW,RIGHT_ELBOW,54,33,0.38888888888888884,0.18265508752201515,0.2283712910176183,0.22697181758437215,0.18296023179954726
CapturedFrames_-3.0_2.0_-4.0,-3.0,2.0,-4.0,Y=2.0,5,SW,RIGHT_KNEE,54,35,0.35185185185185186,0.24596606554056494,0.4049124233040099,0.4023869188087933,0.24183179382320483
CapturedFrames_-3.0_2.0_-4.0,-3.0,2.0,-4.0,Y=2.0,5,SW,RIGHT_SHOULDER,54,39,0.2777777777777778,0.08081082270791551,0.11433350096246847,0.11374959352772543,0.07662932506706491
CapturedFrames_-3.0_2.0_-4.0,-3.0,2.0,-4.0,Y=2.0,5,SW,RIGHT_WRIST,54,42,0.2222222222222222,0.2538744668146819,0.31285293426375693,0.30975923804313515,0.2634415536553166
CapturedFrames_-3.0_2.0_-5.0,-3.0,2.0,-5.0,Y=2.0,5,SW,LEFT_ANKLE,36,28,0.2222222222222222,0.2833683521268402,0.4079973369539932,0.40272361115922034,0.28034716844027546
CapturedFrames_-3.0_2.0_-5.0,-3.0,2.0,-5.0,Y=2.0,5,SW,LEFT_ELBOW,36,25,0.3055555555555556,0.15280782224718495,0.4034324448670168,0.4028881868756923,0.15007110479219446
CapturedFrames_-3.0_2.0_-5.0,-3.0,2.0,-5.0,Y=2.0,5,SW,LEFT_KNEE,36,26,0.2777777777777778,0.18963605185258198,0.22956262453462742,0.2279914490674216,0.19288938895540111
CapturedFrames_-3.0_2.0_-5.0,-3.0,2.0,-5.0,Y=2.0,5,SW,LEFT_SHOULDER,36,28,0.2222222222222222,0.08375577258910992,0.3615633822715243,0.36127460941239947,0.08369396665560498
CapturedFrames_-3.0_2.0_-5.0,-3.0,2.0,-5.0,Y=2.0,5,SW,LEFT_WRIST,36,29,0.19444444444444442,0.158473226307753,0.36580072425741234,0.36130606228266776,0.1550778329689898
CapturedFrames_-3.0_2.0_-5.0,-3.0,2.0,-5.0,Y=2.0,5,SW,RIGHT_ANKLE,36,25,0.3055555555555556,0.29924588166214827,0.6769900152721262,0.6748678683851308,0.27646087330830316
CapturedFrames_-3.0_2.0_-5.0,-3.0,2.0,-5.0,Y=2.0,5,SW,RIGHT_ELBOW,36,23,0.36111111111111116,0.1686602806296138,0.21689588503495458,0.21441753814761322,0.1603633178322719
CapturedFrames_-3.0_2.0_-5.0,-3.0,2.0,-5.0,Y=2.0,5,SW,RIGHT_KNEE,36,25,0.3055555555555556,0.22366433741961686,0.3837144002273877,0.38157768093944827,0.22040200699034876
CapturedFrames_-3.0_2.0_-5.0,-3.0,2.0,-5.0,Y=2.0,5,SW,RIGHT_SHOULDER,36,21,0.41666666666666663,0.07478545394294078,0.1174286046754452,0.11657903308097338,0.0722160198140321
CapturedFrames_-3.0_2.0_-5.0,-3.0,2.0,-5.0,Y=2.0,5,SW,RIGHT_WRIST,36,28,0.2222222222222222,0.23475858183430454,0.2935415497172549,0.28914663238646615,0.22794501249614
CapturedFrames_-3.0_2.0_-6.0,-3.0,2.0,-6.0,Y=2.0,5,SW,LEFT_ANKLE,16,13,0.1875,0.2894553510349084,0.40337926898707893,0.39870686313977316,0.30084990551948515
CapturedFrames_-3.0_2.0_-6.0,-3.0,2.0,-6.0,Y=2.0,5,SW,LEFT_ELBOW,16,9,0.4375,0.15589881107945625,0.3461710384560633,0.3457143976475317,0.15807204304271247
CapturedFrames_-3.0_2.0_-6.0,-3.0,2.0,-6.0,Y=2.0,5,SW,LEFT_KNEE,16,10,0.375,0.196483877460667,0.29224340127626164,0.29128585004352964,0.19316442689001995
CapturedFrames_-3.0_2.0_-6.0,-3.0,2.0,-6.0,Y=2.0,5,SW,LEFT_SHOULDER,16,11,0.3125,0.07105523910088465,0.3109569762303974,0.3105537657280748,0.07121805749480643
CapturedFrames_-3.0_2.0_-6.0,-3.0,2.0,-6.0,Y=2.0,5,SW,LEFT_WRIST,16,13,0.1875,0.18341388808874015,0.29759426375789355,0.29394750142674575,0.18308495161061283
CapturedFrames_-3.0_2.0_-6.0,-3.0,2.0,-6.0,Y=2.0,5,SW,RIGHT_ANKLE,16,12,0.25,0.23656050243137933,0.5333212886594707,0.5297575287835674,0.24887198905296204
CapturedFrames_-3.0_2.0_-6.0,-3.0,2.0,-6.0,Y=2.0,5,SW,RIGHT_ELBOW,16,9,0.4375,0.20357062343309126,0.24703526784863825,0.24643939867865294,0.21564243943144631
CapturedFrames_-3.0_2.0_-6.0,-3.0,2.0,-6.0,Y=2.0,5,SW,RIGHT_KNEE,16,11,0.3125,0.20650388980512688,0.34453035873124876,0.3435736071813756,0.2142353938023506
CapturedFrames_-3.0_2.0_-6.0,-3.0,2.0,-6.0,Y=2.0,5,SW,RIGHT_SHOULDER,16,10,0.375,0.059551648951238254,0.1493289907821792,0.14786392264109122,0.06058434216752755
CapturedFrames_-3.0_2.0_-6.0,-3.0,2.0,-6.0,Y=2.0,5,SW,RIGHT_WRIST,16,10,0.375,0.2745007280328374,0.34713757545306095,0.3417898734706282,0.2727230605230305
CapturedFrames_-3.0_2.0_0.0,-3.0,2.0,0.0,Y=2.0,6,W,LEFT_ANKLE,84,62,0.26190476190476186,0.33534471656748116,0.5550425568674489,0.5530059148012855,0.3369930276416693
CapturedFrames_-3.0_2.0_0.0,-3.0,2.0,0.0,Y=2.0,6,W,LEFT_ELBOW,84,68,0.19047619047619047,0.21425477356655231,0.601411694397397,0.60055858236635,0.21014623199084018
CapturedFrames_-3.0_2.0_0.0,-3.0,2.0,0.0,Y=2.0,6,W,LEFT_KNEE,84,65,0.22619047619047616,0.18732173338819502,0.2712818035001638,0.2700327817500883,0.18677452442299367
CapturedFrames_-3.0_2.0_0.0,-3.0,2.0,0.0,Y=2.0,6,W,LEFT_SHOULDER,84,68,0.19047619047619047,0.17331334796530878,0.5422099138723924,0.5418011641499187,0.17343354053062973
CapturedFrames_-3.0_2.0_0.0,-3.0,2.0,0.0,Y=2.0,6,W,LEFT_WRIST,84,55,0.34523809523809523,0.17553521151390492,0.6133784426665726,0.6087169394424056,0.1664144446182788
CapturedFrames_-3.0_2.0_0.0,-3.0,2.0,0.0,Y=2.0,6,W,RIGHT_ANKLE,84,52,0.38095238095238093,0.41539399747192474,0.8271672461516056,0.8255055245453762,0.41104180399307627
CapturedFrames_-3.0_2.0_0.0,-3.0,2.0,0.0,Y=2.0,6,W,RIGHT_ELBOW,84,43,0.48809523809523814,0.23685651153773823,0.2709683559186626,0.2698077507915944,0.23002504799355653
CapturedFrames_-3.0_2.0_0.0,-3.0,2.0,0.0,Y=2.0,6,W,RIGHT_KNEE,84,58,0.30952380952380953,0.2868506427581326,0.4308553961235585,0.42923603492994306,0.27683890258092836
CapturedFrames_-3.0_2.0_0.0,-3.0,2.0,0.0,Y=2.0,6,W,RIGHT_SHOULDER,84,61,0.27380952380952384,0.11592949695711759,0.1369079149878498,0.136641824963865,0.11613321203243335
CapturedFrames_-3.0_2.0_0.0,-3.0,2.0,0.0,Y=2.0,6,W,RIGHT_WRIST,84,53,0.36904761904761907,0.312959395002608,0.3672651160228435,0.36564331633145725,0.31228318532793437
