camera,joint,delta_theta_mean,delta_theta_std,delta_theta_abs_mean,error_3d_mean,count
CapturedFrames_-3.0_0.5_3.0,LEFT_ELBOW,-62.822161766231936,14.565506064419113,62.82216176623194,0.34995431112751835,59
CapturedFrames_-3.0_0.5_3.0,RIGHT_ELBOW,67.67804856381579,12.52672472074706,67.67804856381579,0.3219854132664566,59
CapturedFrames_-3.0_0.5_4.0,LEFT_ELBOW,-68.94228722074523,11.327838781259281,68.94228722074523,0.33839247821647545,38
CapturedFrames_-3.0_0.5_4.0,RIGHT_ELBOW,71.74142552418073,12.88481572248735,71.74142552418073,0.3303381046824211,38
CapturedFrames_-3.0_0.5_5.0,LEFT_ELBOW,-70.77023190208584,9.464319618934905,70.77023190208584,0.3430327671137273,25
CapturedFrames_-3.0_0.5_5.0,RIGHT_ELBOW,70.95395492761152,14.306266989226206,70.95395492761152,0.32279953651712523,25
CapturedFrames_-3.0_0.5_6.0,LEFT_ELBOW,-78.91331124883912,3.396800618038597,78.91331124883912,0.2828227086219123,7
CapturedFrames_-3.0_0.5_6.0,RIGHT_ELBOW,82.36996492550608,1.443773035889654,82.36996492550608,0.37309903186532967,7
CapturedFrames_-3.0_1.0_-1.0,LEFT_ELBOW,-36.67757245764668,17.24104271148252,36.67757245764668,0.3394705970048111,82
CapturedFrames_-3.0_1.0_-1.0,RIGHT_ELBOW,42.971401186440225,13.690993844742724,42.97140118644023,0.2826303233366851,82
CapturedFrames_-3.0_1.0_-2.0,LEFT_ELBOW,-32.169518728349196,12.54826540030248,32.16951872834919,0.33100091352959726,86
CapturedFrames_-3.0_1.0_-2.0,RIGHT_ELBOW,35.6448459054786,12.214496153395261,35.6448459054786,0.2802235054107852,86
CapturedFrames_-3.0_1.0_-3.0,LEFT_ELBOW,-34.43490095857555,13.17150250269642,34.43490095857555,0.31903327223232886,69
CapturedFrames_-3.0_1.0_-3.0,RIGHT_ELBOW,33.975094612988535,12.957659963245925,33.97509461298853,0.2793836857955117,69
CapturedFrames_-3.0_1.0_-4.0,LEFT_ELBOW,-35.267188349489224,12.444739651284205,35.267188349489224,0.3077848308402443,56
CapturedFrames_-3.0_1.0_-4.0,RIGHT_ELBOW,34.72971951848288,13.846223806324131,34.72971951848289,0.27889528069312153,56
CapturedFrames_-3.0_1.0_-5.0,LEFT_ELBOW,-31.979276633436044,8.600190087205197,31.979276633436044,0.30005247279613156,32
CapturedFrames_-3.0_1.0_-5.0,RIGHT_ELBOW,31.762116196435024,13.309395151139666,31.762116196435024,0.2730408116960589,32
CapturedFrames_-3.0_1.0_-6.0,LEFT_ELBOW,-32.30164765852592,3.0834695156207284,32.30164765852593,0.2614942377383802,20
CapturedFrames_-3.0_1.0_-6.0,RIGHT_ELBOW,35.55287124236219,8.30649701079588,35.55287124236219,0.28579521039501576,20
CapturedFrames_-3.0_1.0_0.0,LEFT_ELBOW,-41.42736707546189,38.192864099819246,49.38284338415711,0.37694130709618345,78
CapturedFrames_-3.0_1.0_0.0,RIGHT_ELBOW,45.095532169579066,28.65166967939879,50.41894782785208,0.2891844717966946,78
CapturedFrames_-3.0_1.0_1.0,LEFT_ELBOW,-61.68935644165238,23.956420911029333,61.68935644165238,0.3695262988874583,93
CapturedFrames_-3.0_1.0_1.0,RIGHT_ELBOW,59.77624427868824,14.33591859133944,59.77624427868824,0.305421277263874,93
CapturedFrames_-3.0_1.0_2.0,LEFT_ELBOW,-64.68539944578241,19.52517815971484,64.68539944578242,0.36833493195591066,88
CapturedFrames_-3.0_1.0_2.0,RIGHT_ELBOW,64.0942725098098,12.113494376427115,64.0942725098098,0.3161008412346294,88
CapturedFrames_-3.0_1.0_3.0,LEFT_ELBOW,-64.94599035787684,15.631961503204863,64.94599035787684,0.3617640892309071,63
CapturedFrames_-3.0_1.0_3.0,RIGHT_ELBOW,67.6838267083257,12.168259417571717,67.68382670832571,0.32218461013906663,63
CapturedFrames_-3.0_1.0_4.0,LEFT_ELBOW,-69.33449905335382,12.33759707820048,69.33449905335382,0.3436629572945921,39
CapturedFrames_-3.0_1.0_4.0,RIGHT_ELBOW,71.28776270105952,12.711167322850036,71.28776270105952,0.3295806168211416,39
CapturedFrames_-3.0_1.0_5.0,LEFT_ELBOW,-73.30815381978724,9.580847508143453,73.30815381978724,0.33281352897510397,27
CapturedFrames_-3.0_1.0_5.0,RIGHT_ELBOW,73.31842524169438,11.978410339541309,73.31842524169438,0.32990494074586674,27
CapturedFrames_-3.0_1.0_6.0,LEFT_ELBOW,-79.41911005873683,3.491942823588628,79.41911005873683,0.2832300387390598,8
CapturedFrames_-3.0_1.0_6.0,RIGHT_ELBOW,82.53511446879926,1.5327896657163533,82.53511446879926,0.37628909265955834,8
