camera,joint,theta_mean,theta_std,count
CapturedFrames_-3.0_1.0_-1.0,RIGHT_ELBOW,42.971401186440225,13.690993844742724,82
CapturedFrames_-3.0_1.0_-2.0,LEFT_ELBOW,-32.169518728349196,12.54826540030248,86
CapturedFrames_-3.0_1.0_-2.0,RIGHT_ELBOW,35.6448459054786,12.214496153395261,86
CapturedFrames_-3.0_1.0_-3.0,LEFT_ELBOW,-34.43490095857555,13.17150250269642,69
CapturedFrames_-3.0_1.0_-3.0,RIGHT_ELBOW,33.975094612988535,12.957659963245925,69
CapturedFrames_-3.0_1.0_-4.0,LEFT_ELBOW,-35.267188349489224,12.444739651284205,56
CapturedFrames_-3.0_1.0_-4.0,RIGHT_ELBOW,34.72971951848288,13.846223806324131,56
CapturedFrames_-3.0_1.0_-5.0,LEFT_ELBOW,-31.979276633436044,8.600190087205197,32
CapturedFrames_-3.0_1.0_-5.0,RIGHT_ELBOW,31.762116196435024,13.309395151139666,32
CapturedFrames_-3.0_1.0_-6.0,LEFT_ELBOW,-32.30164765852592,3.0834695156207284,20
CapturedFrames_-3.0_1.0_-6.0,RIGHT_ELBOW,35.55287124236219,8.30649701079588,20
CapturedFrames_-3.0_1.0_0.0,LEFT_ELBOW,-41.42736707546189,38.192864099819246,78
CapturedFrames_-3.0_1.0_0.0,RIGHT_ELBOW,45.095532169579066,28.65166967939879,78
CapturedFrames_-3.0_1.0_1.0,LEFT_ELBOW,-61.68935644165238,23.956420911029333,93
CapturedFrames_-3.0_1.0_1.0,RIGHT_ELBOW,59.77624427868824,14.33591859133944,93
CapturedFrames_-3.0_1.0_2.0,LEFT_ELBOW,-64.68539944578241,19.52517815971484,88
CapturedFrames_-3.0_1.0_2.0,RIGHT_ELBOW,64.0942725098098,12.113494376427115,88
CapturedFrames_-3.0_1.0_3.0,LEFT_ELBOW,-64.94599035787684,15.631961503204863,63
CapturedFrames_-3.0_1.0_3.0,RIGHT_ELBOW,67.6838267083257,12.168259417571717,63
CapturedFrames_-3.0_1.0_4.0,LEFT_ELBOW,-69.33449905335382,12.33759707820048,39
