folder_name,camera_x,camera_y,camera_z,height_label,azimuth_bin,azimuth_label,joint,n_frames,mean_cos_phi,mean_abs_cos_phi,mean_error_dot_mc,mean_error_norm,median_abs_cos_phi
CapturedFrames_1.0_0.5_4.0,1.0,0.5,4.0,Y=0.5,0,N,RIGHT_WRIST,52,-0.7993998734920028,0.8002609923284489,-1.6207540486708736,0.6471381858194664,0.8776964462427175
CapturedFrames_1.0_0.5_5.0,1.0,0.5,5.0,Y=0.5,0,N,LEFT_ANKLE,39,0.4277529103695225,0.6268292768333016,0.8602720551258088,0.4480178248557054,0.6804280405051337
CapturedFrames_1.0_0.5_5.0,1.0,0.5,5.0,Y=0.5,0,N,LEFT_ELBOW,39,0.39153623742877797,0.5602660868815824,0.5383168680785594,0.4194966161960056,0.519652760996415
CapturedFrames_1.0_0.5_5.0,1.0,0.5,5.0,Y=0.5,0,N,LEFT_KNEE,39,-0.07928676725042537,0.33637517770755826,-0.17157322462347643,0.3332241459630076,0.2696373956425138
CapturedFrames_1.0_0.5_5.0,1.0,0.5,5.0,Y=0.5,0,N,LEFT_SHOULDER,39,-0.006325127593580202,0.4671625747047112,-0.07889961976918342,0.19823329264236308,0.4826604336004094
CapturedFrames_1.0_0.5_5.0,1.0,0.5,5.0,Y=0.5,0,N,LEFT_WRIST,39,0.04958938986860587,0.5625373554824314,-0.28272207610949596,0.5488694882260733,0.6101701230066418
CapturedFrames_1.0_0.5_5.0,1.0,0.5,5.0,Y=0.5,0,N,RIGHT_ANKLE,39,0.08050688389367487,0.6559218659530927,0.31153565168598496,0.5440611619952397,0.7105360162911177
CapturedFrames_1.0_0.5_5.0,1.0,0.5,5.0,Y=0.5,0,N,RIGHT_ELBOW,39,-0.7560080990529824,0.7560080990529824,-1.4451020172031812,0.49957473719649625,0.8642995522311793
CapturedFrames_1.0_0.5_5.0,1.0,0.5,5.0,Y=0.5,0,N,RIGHT_KNEE,39,-0.6417834697277502,0.6682261409509194,-1.101557505740999,0.41405347551553856,0.8210500928472029
CapturedFrames_1.0_0.5_5.0,1.0,0.5,5.0,Y=0.5,0,N,RIGHT_SHOULDER,39,-0.902960557805833,0.902960557805833,-1.1845029160478207,0.3413598170949663,0.9012234626625168
CapturedFrames_1.0_0.5_5.0,1.0,0.5,5.0,Y=0.5,0,N,RIGHT_WRIST,39,-0.8768621267367135,0.8768621267367135,-2.1839196067774305,0.6852786371435873,0.9634052546976151
CapturedFrames_1.0_0.5_6.0,1.0,0.5,6.0,Y=0.5,0,N,LEFT_ANKLE,15,0.29072897466761893,0.6249282131782634,0.6940574810601184,0.47534447803705204,0.5372397453827363
CapturedFrames_1.0_0.5_6.0,1.0,0.5,6.0,Y=0.5,0,N,LEFT_ELBOW,15,0.5181488732723492,0.61080262489604,0.8301174306145896,0.38698016414354347,0.7161293466210316
