height_label,azimuth_bin,azimuth_label,joint,n,mean_cos_phi,mean_abs_cos_phi,mean_error_norm
Y=0.5,6,W,RIGHT_ANKLE,982,0.3624704621255771,0.46911003062400874,0.5658564920477874
Y=0.5,6,W,RIGHT_ELBOW,982,0.661116619465179,0.6701217329842676,0.3453363145633145
Y=0.5,6,W,RIGHT_KNEE,982,0.49940770297148523,0.5572755994471563,0.3400601075056435
Y=0.5,6,W,RIGHT_SHOULDER,982,0.3111028479470704,0.4073183696976977,0.17061490278461358
Y=0.5,6,W,RIGHT_WRIST,982,0.681652204186852,0.6894609565164442,0.3945006898803324
Y=0.5,7,NW,LEFT_ANKLE,547,-0.29210134447094377,0.4851346204495355,0.5063784112167011
Y=0.5,7,NW,LEFT_ELBOW,547,-0.8449997301164823,0.8449997301164823,0.5382118638832474
Y=0.5,7,NW,LEFT_KNEE,547,-0.6653772927121128,0.6717138523981606,0.41142047482286903
Y=0.5,7,NW,LEFT_SHOULDER,547,-0.6185417306516952,0.6264965084926694,0.4072065494353466
Y=0.5,7,NW,LEFT_WRIST,547,-0.7745694475690543,0.7798552043157846,0.6201538700624993
Y=0.5,7,NW,RIGHT_ANKLE,547,0.5777279486552194,0.5924605313808856,0.5716953609414593
Y=0.5,7,NW,RIGHT_ELBOW,547,0.7916647033428089,0.797221531578193,0.39293121654797697
Y=0.5,7,NW,RIGHT_KNEE,547,0.49386138879597447,0.5407601133946166,0.3638563007243603
Y=0.5,7,NW,RIGHT_SHOULDER,547,0.6348682770349009,0.6897434068841872,0.16987100359483798
Y=0.5,7,NW,RIGHT_WRIST,547,0.5734150604801463,0.6159543479853877,0.472039276296319
Y=1.0,0,N,LEFT_ANKLE,580,0.42804617678190643,0.7480719200172694,0.5720304697221
Y=1.0,0,N,LEFT_ELBOW,580,-0.21074213919070092,0.5504146509974277,0.42411765869475854
Y=1.0,0,N,LEFT_KNEE,580,-0.12708644035812938,0.5849375719479943,0.3348457018736698
Y=1.0,0,N,LEFT_SHOULDER,580,-0.60654197573542,0.6888782455716661,0.2993057527447388
Y=1.0,0,N,LEFT_WRIST,580,-0.39980464203712673,0.6330583997528156,0.5629759463453966
Y=1.0,0,N,RIGHT_ANKLE,580,0.3829842317796853,0.731778298191147,0.5786563648095471
Y=1.0,0,N,RIGHT_ELBOW,580,-0.3919863211763325,0.5757546658904552,0.45239961163976417
Y=1.0,0,N,RIGHT_KNEE,580,-0.19082949853146386,0.660320677989208,0.3628305154706012
Y=1.0,0,N,RIGHT_SHOULDER,580,-0.7300086535066197,0.7650629535926818,0.3229992439777618
Y=1.0,0,N,RIGHT_WRIST,580,-0.5681038797492185,0.6506205498133478,0.603031468001103
Y=1.0,1,NE,LEFT_ANKLE,492,0.6224076375940247,0.6328370250883597,0.6449938409401165
Y=1.0,1,NE,LEFT_ELBOW,492,0.7757063562424074,0.7798713578980335,0.3327209012890636
Y=1.0,1,NE,LEFT_KNEE,492,0.6216987456902398,0.6376658204501549,0.36727673856555304
Y=1.0,1,NE,LEFT_SHOULDER,492,0.4379994431844273,0.5222513534642889,0.1580140739969885
Y=1.0,1,NE,LEFT_WRIST,492,0.4855276828163974,0.5863444647835034,0.4283703347226635
Y=1.0,1,NE,RIGHT_ANKLE,492,-0.19300554880582318,0.3814386175054593,0.5507015428682326
